"s_x1","s_x2","s_x3","s_x4","s_x5","s_x6","s_x7","s_x8","s_x9","s_x10","s_x11","s_x12","s_x13","s_x14","s_x15","s_y","s_y2",
0,0,-0.16803,0.97628,1.8255,,57.6754,-0.051938,255.2787,254.9937,254.6529,254.3006,252.4929,250.5724,249.3947,,,
0,0,-0.16803,0.18431,1.8255,,57.1111,-0.078971,255.3425,255.0803,254.755,254.4119,252.6097,250.6694,249.4751,,,
0,0,0.7215,0.34565,1.7809,,65.8131,-0.10979,255.385,255.1512,254.8444,254.5127,252.7219,250.7644,249.5545,,,
-0.0078287,-0.0078287,-0.0078287,0.3378,1.7121,,65.645,-0.14366,255.4067,255.2055,254.9201,254.602,252.8288,250.8572,249.6326,,,
-0.054805,-0.06263,-0.06263,-0.23056,1.6564,,64.4918,-0.19267,255.3744,255.2245,254.9688,254.6694,252.9261,250.9454,249.7078,,,
-0.12142,-0.17616,-0.18397,-0.3517,1.5329,,50,-0.26985,255.2496,255.1837,254.9727,254.7009,253.0075,251.0257,249.7779,,,
0.15686,0.035251,-0.0274,-0.19539,1.6922,,56.4593,-0.2694,255.2997,255.223,255.0261,254.7675,253.1013,251.1123,249.8524,,,
0.33281,0.4902,0.30532,1.029,2.0307,,61.6573,-0.16228,255.6165,255.4097,255.1791,254.9087,253.2248,251.214,249.9371,,,
1.0185,1.3547,1.3349,1.327,2.9142,,67.5772,0.23111,256.6977,256.0371,255.6392,255.285,253.4458,251.3655,250.0553,,,
-0.97736,0.03122,0.39951,0.33663,1.9083,,51.9635,0.12671,256.5751,256.0903,255.7256,255.3845,253.5589,251.4638,250.1384,,,
-0.44084,-1.4139,0.078431,-0.10569,0.86957,,47.1026,-0.1058,256.1167,255.9284,255.6599,255.3669,253.6232,251.5377,250.2055,,,
0,-0.44084,-0.078309,-0.10569,0.61901,,57.943,-0.26196,255.8112,255.796,255.6024,255.351,253.6851,251.6103,250.2716,,,
0.043103,0.043103,-0.36683,-0.06263,0.29857,,49.0123,-0.34744,255.6441,255.7076,255.5658,255.3471,253.7488,251.6835,250.3383,,,
0,0.043103,-1.3714,-0.054805,0.38927,,49.0123,-0.39739,255.5327,255.6353,255.5339,255.3436,253.81,251.7553,250.4042,,,
-0.070503,-0.070503,-0.46815,-0.070503,0.47653,,47.9469,-0.44451,255.3985,255.5435,255.4834,255.3233,253.8618,251.8222,250.4668,,,
